rank;config_id;strategy_name;total_trades;win_rate;avg_pnl;total_pnl;profit_factor;max_drawdown;sharpe_ratio;avg_hold_time;filtered_out;best_trade;worst_trade;execution_time;buffer_hours_after;buffer_hours_before;cross_lookback_periods;long_enter_zone_mid_tf;long_exit_zone;long_extreme_exit;max_hold_hours;rsi_extreme_threshold;secondary_timeframes;short_enter_zone_mid_tf;short_exit_zone;short_extreme_exit;sma_change_periods;sma_change_threshold;stop_loss;strategy_name;take_profit;tf_multiplier_15m;tf_multiplier_1h;tf_multiplier_30m;trailing_stop_activation;trailing_stop_distance;use_trailing_stop
41;genetic_balanced_0407;genetic_gen0_7;64;75.0;1.142;73.09;4.99;6.0;0.635;3.99;2796;6.49;-1.5;1943.517;180;120;12;40;55;75;12;12;['15m', '30m'];57;28;22;5;0.4;0.015;genetic_gen0_7;0.025;4;12;6;0.01;0.008;False
42;genetic_balanced_0207;genetic_gen0_7;57;73.68;1.1329;64.57;4.56;6.0;0.602;4.04;2565;6.49;-1.5;1788.275;180;120;12;40;55;75;12;12;['15m', '30m'];57;28;22;5;0.4;0.015;genetic_gen0_7;0.025;4;12;6;0.01;0.008;False
43;genetic_balanced_0049;genetic_gen0_49;69;69.57;1.1304;78.0;2.37;17.58;0.363;9.68;2791;8.72;-3.0;1309.114;200;120;6;50;72;85;30;12;['30m'];70;45;20;4;0.7;0.03;genetic_gen0_49;0.035;4;8;4;0.008;0.005;False
44;genetic_balanced_0097;genetic_gen0_97;86;68.6;1.1279;97.0;2.78;6.12;0.388;9.08;2774;8.72;-3.0;1509.03;180;120;12;40;65;85;24;12;['30m'];65;40;25;8;0.5;0.03;genetic_gen0_97;0.06;2;16;6;0.008;0.008;False
45;genetic_balanced_0017;genetic_gen0_17;55;69.09;1.1274;62.01;4.04;7.2;0.571;5.35;2805;5.88;-1.2;2058.252;280;100;15;50;70;88;16;20;['15m', '30m'];57;40;12;3;0.5;0.012;genetic_gen0_17;0.025;3;12;6;0.015;0.005;False
46;genetic_balanced_0217;genetic_gen0_17;55;69.09;1.1274;62.01;4.04;7.2;0.571;5.35;2805;5.88;-1.2;1955.747;280;100;15;50;70;88;16;20;['15m', '30m'];57;40;12;3;0.5;0.012;genetic_gen0_17;0.025;3;12;6;0.015;0.005;False
47;genetic_balanced_0317;genetic_gen0_17;55;69.09;1.1274;62.01;4.04;7.2;0.571;5.35;2805;5.88;-1.2;1966.547;280;100;15;50;70;88;16;20;['15m', '30m'];57;40;12;3;0.5;0.012;genetic_gen0_17;0.025;3;12;6;0.015;0.005;False
48;genetic_balanced_0417;genetic_gen0_17;55;69.09;1.1274;62.01;4.04;7.2;0.571;5.35;2805;5.88;-1.2;2035.226;280;100;15;50;70;88;16;20;['15m', '30m'];57;40;12;3;0.5;0.012;genetic_gen0_17;0.025;3;12;6;0.015;0.005;False
49;genetic_balanced_0382;genetic_gen3_cross_82;217;68.66;1.113;241.52;3.47;10.24;0.394;3.54;2643;9.01;-3.0;1312.568;200;120;10;43;55;85;8;18;['1h'];70;40;25;8;0.7;0.03;genetic_gen3_cross_82;0.06;4;12;8;0.012;0.006;False
50;genetic_balanced_0254;genetic_gen2_cross_54;58;68.97;1.1114;64.46;3.46;7.5;0.463;6.01;2802;9.84;-1.5;2013.678;240;160;12;40;72;80;24;18;['15m', '1h'];55;45;25;7;0.5;0.015;genetic_gen2_cross_54;0.045;2;16;8;0.015;0.012;False
