pair;direction;rsi;signal_time;entry_time_str;exit_time_str;entry_price;exit_price;pnl_percent;hold_time;dynamic_sl;status;exit_reason;filter_info;filtered_out;;;;;
BTCUSDT;Short;64.28098257106157;13.08.2025 20:15;13.08.2025 20:15;0;122745.1;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;30.784038513011453;14.08.2025 6:30;14.08.2025 6:30;0;121791.5;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Recent bear cross at RSI_SMA=70.27;1;;;;;
BTCUSDT;Long;36.373468389602216;14.08.2025 13:05;14.08.2025 13:05;0;118940.1;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;35.575508234629226;14.08.2025 13:30;14.08.2025 13:30;0;118405.5;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;57.76945563073339;14.08.2025 23:50;14.08.2025 23:50;0;118412.1;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;58.161383044337846;15.08.2025 2:30;15.08.2025 2:30;0;118681.9;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;59.84302499890438;15.08.2025 2:45;15.08.2025 2:45;0;118772.7;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;59.250779868904814;15.08.2025 3:15;15.08.2025 3:15;0;118825.1;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;58.93143914548213;15.08.2025 3:45;15.08.2025 3:45;0;118929.8;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;35.91989338490991;15.08.2025 14:00;15.08.2025 14:00;0;118067.9;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;35.92759816711232;15.08.2025 15:10;15.08.2025 15:10;0;117353.7;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;38.93236401844217;15.08.2025 15:30;15.08.2025 15:30;0;117263.0;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;59.79572666926094;16.08.2025 1:15;16.08.2025 1:15;0;117674.4;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;64.10134918886625;16.08.2025 1:55;16.08.2025 1:55;0;117820.6;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;44.55362210663596;16.08.2025 10:45;16.08.2025 10:45;0;117392.6;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;59.56456907739271;16.08.2025 13:20;16.08.2025 13:20;0;117705.0;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;41.90198633920398;16.08.2025 22:15;16.08.2025 22:15;0;117460.7;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;61.42092881649909;17.08.2025 3:55;17.08.2025 3:55;0;117683.4;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;62.57887388326221;17.08.2025 4:10;17.08.2025 4:10;0;117717.8;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;65.7391475722948;17.08.2025 4:35;17.08.2025 4:35;0;117775.9;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;68.4229287634187;17.08.2025 5:25;17.08.2025 5:25;0;118131.8;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Recent bull cross at RSI_SMA=51.10;1;;;;;
BTCUSDT;Short;59.232323899485806;17.08.2025 9:30;17.08.2025 9:30;0;118289.5;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;36.66930429207297;17.08.2025 17:20;17.08.2025 17:20;0;117807.5;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;41.425428822187236;18.08.2025 0:05;18.08.2025 0:05;0;117533.9;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;38.79880878740433;18.08.2025 0:20;18.08.2025 0:20;0;117413.8;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;36.38924204878113;18.08.2025 0:35;18.08.2025 0:35;0;117238.7;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;32.11993380360714;18.08.2025 2:35;18.08.2025 2:35;0;116083.0;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Downtrend: avg_sma_change=-2.62, no_rsi_extreme=True;1;;;;;
BTCUSDT;Long;34.683839618606726;18.08.2025 3:50;18.08.2025 3:50;0;115333.7;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Downtrend: avg_sma_change=-2.97, no_rsi_extreme=True;1;;;;;
BTCUSDT;Short;63.80188318762327;18.08.2025 13:35;18.08.2025 13:35;0;115606.8;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;61.38571949635043;18.08.2025 16:20;18.08.2025 16:20;0;116057.8;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;59.35232328875079;18.08.2025 17:45;18.08.2025 17:45;0;116430.1;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;39.141500391239276;18.08.2025 23:50;18.08.2025 23:50;0;116248.3;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;36.94001427293975;19.08.2025 0:35;19.08.2025 0:35;0;116059.7;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;40.97840237213496;19.08.2025 2:25;19.08.2025 2:25;0;115820.0;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;40.50438899729243;19.08.2025 3:15;19.08.2025 3:15;0;115667.4;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;29.505930786650325;19.08.2025 4:10;19.08.2025 4:10;19.08.2025 9:55;114758.3;115322.1;0,49129344;Тра.75;111315.551;Profit;Reverse Signal (Short);;0;;;;;
BTCUSDT;Short;56.318366637153375;19.08.2025 9:45;19.08.2025 9:45;0;115309.6;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;57.949968090327815;19.08.2025 10:10;19.08.2025 10:10;0;115397.6;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;54.19599511553155;19.08.2025 10:30;19.08.2025 10:30;0;115381.3;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;29.939392205732176;19.08.2025 15:15;19.08.2025 15:15;0;113777.3;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Downtrend: avg_sma_change=-2.06, no_rsi_extreme=True;1;;;;;
BTCUSDT;Long;37.86110592438114;19.08.2025 16:15;19.08.2025 16:15;0;113755.4;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;40.32227644638031;19.08.2025 18:50;19.08.2025 18:50;0;113131.0;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;47.03835550452346;19.08.2025 23:30;19.08.2025 23:30;0;113107.2;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;40.08235945529286;19.08.2025 23:55;19.08.2025 23:55;0;112871.8;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;59.74649243798452;20.08.2025 3:35;20.08.2025 3:35;0;113539.9;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;51.69465342310748;20.08.2025 4:35;20.08.2025 4:35;0;113525.0;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;34.99212705333164;20.08.2025 14:10;20.08.2025 14:10;0;112705.1;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
